# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkHTJ2KFairDecomp/HTJ2K/MR_BRAIN-14          	      10	    368229 ns/op	 444.94 MB/s	         0.1562 orig-MB	         7.619 ratio	  163840 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR_BREAST-14           	      10	    402408 ns/op	 325.72 MB/s	         0.1250 orig-MB	         4.013 ratio	 1001472 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR_BREAST-14         	      10	    338962 ns/op	 386.69 MB/s	         0.1250 orig-MB	         4.099 ratio	  131072 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/MR_PROSTATE-14         	      10	    678021 ns/op	 302.06 MB/s	         0.1953 orig-MB	         2.302 ratio	 1414144 B/op	       9 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/MR_PROSTATE-14       	      10	    623242 ns/op	 328.60 MB/s	         0.1953 orig-MB	         2.492 ratio	  204800 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/PET_PSMA-14            	      10	    227458 ns/op	 351.71 MB/s	         0.07629 orig-MB	        10.12 ratio	  857344 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/PET_PSMA-14          	      10	    185058 ns/op	 432.30 MB/s	         0.07629 orig-MB	        13.92 ratio	   81920 B/op	       1 allocs/op
BenchmarkHTJ2KFairDecomp/MIC/PET_LUNG-14            	      10	    377117 ns/op	 212.14 MB/s	         0.07629 orig-MB	         2.972 ratio	 1190528 B/op	       8 allocs/op
BenchmarkHTJ2KFairDecomp/HTJ2K/PET_LUNG-14          	      10	    203996 ns/op	 392.16 MB/s	         0.07629 orig-MB	         5.215 ratio	   81920 B/op	       1 allocs/op
PASS
ok  	mic/ojph	13.804s
