# mic/ojph [mic/ojph.test]
mic_decompress_c.c:22:44: warning: excess elements in array initializer [-Wexcess-initializers]
# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/MIC-8state/XR-14              	      10	  26237475 ns/op	 402.30 MB/s	         1.738 ratio	46346240 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state-C/XR-14            	      10	  17943700 ns/op	 588.25 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/XR-14         	      10	  17097600 ns/op	 617.36 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/XR-14            	      10	  15800625 ns/op	 668.04 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/XR-14         	      10	  15350746 ns/op	 687.61 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/XR-14                   	      10	  20261575 ns/op	 520.96 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/XR-14                	      10	  21234371 ns/op	 497.09 MB/s	         1.738 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/XR-14                   	      10	  32555600 ns/op	 324.23 MB/s	         1.670 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/XR-14                  	      10	  80449346 ns/op	 131.21 MB/s	         1.761 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/XR-14                  	      10	  16290325 ns/op	 647.95 MB/s	         1.748 ratio	57508208 B/op	      28 allocs/op
BenchmarkAllCodecs/PICS-C-2/XR-14                	      10	  11890342 ns/op	 887.73 MB/s	         1.748 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/XR-14                  	      10	   8660767 ns/op	1218.76 MB/s	         1.753 ratio	58999547 B/op	      52 allocs/op
BenchmarkAllCodecs/PICS-C-4/XR-14                	      10	   6108225 ns/op	1728.06 MB/s	         1.753 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/XR-14                  	      10	   5036204 ns/op	2095.90 MB/s	         1.755 ratio	62155927 B/op	     104 allocs/op
BenchmarkAllCodecs/PICS-C-8/XR-14                	      10	   3301712 ns/op	3196.94 MB/s	         1.755 ratio	10559488 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG1-14                 	      10	  19485188 ns/op	 503.37 MB/s	         8.786 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state/MG1-14             	      10	  18428138 ns/op	 532.25 MB/s	         8.785 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-8state/MG1-14             	      10	  16802958 ns/op	 583.73 MB/s	         8.784 ratio	23221248 B/op	      12 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG1-14           	      10	  13032650 ns/op	 752.60 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG1-14        	      10	  13591925 ns/op	 721.63 MB/s	         8.785 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG1-14           	      10	  12873654 ns/op	 761.89 MB/s	         8.784 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG1-14        	      10	  12850388 ns/op	 763.27 MB/s	         8.784 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG1-14                  	      10	  14439662 ns/op	 679.26 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG1-14               	      10	  14190962 ns/op	 691.17 MB/s	         8.786 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG1-14                  	      10	  16015888 ns/op	 612.41 MB/s	         8.251 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG1-14                 	      10	  20408817 ns/op	 480.59 MB/s	         8.911 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG1-14                 	      10	   9503679 ns/op	1032.06 MB/s	         8.797 ratio	33851808 B/op	      32 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG1-14               	      10	   6933583 ns/op	1414.61 MB/s	         8.797 ratio	 9814016 B/op	       1 allocs/op
