BenchmarkAllCodecs/PICS-C-4/MG2-16               	      10	   4974574 ns/op	1971.70 MB/s	         8.827 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG2-16                 	      10	   7089453 ns/op	1383.51 MB/s	         8.854 ratio	34966972 B/op	      99 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG2-16               	      10	   3168877 ns/op	3095.21 MB/s	         8.854 ratio	 9814016 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG3-16                 	      10	 108678857 ns/op	 262.99 MB/s	         2.237 ratio	134926336 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state/MG3-16             	      10	 108049602 ns/op	 264.52 MB/s	         2.236 ratio	134959104 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-8state/MG3-16             	      10	 106199642 ns/op	 269.13 MB/s	         2.236 ratio	134967296 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG3-16           	      10	  64833648 ns/op	 440.84 MB/s	         2.236 ratio	29261833 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG3-16        	      10	  55882210 ns/op	 511.45 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-C/MG3-16           	      10	  59269844 ns/op	 482.22 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-8state-SIMD/MG3-16        	      10	  51443118 ns/op	 555.58 MB/s	         2.236 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG3-16                  	      10	  75151813 ns/op	 380.31 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG3-16               	      10	  68096155 ns/op	 419.72 MB/s	         2.237 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG3-16                  	      10	  73200684 ns/op	 390.45 MB/s	         2.223 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG3-16                 	      10	 243465666 ns/op	 117.39 MB/s	         2.378 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG3-16                 	      10	  64383607 ns/op	 443.92 MB/s	         2.271 ratio	163389827 B/op	      30 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG3-16               	      10	  33260643 ns/op	 859.30 MB/s	         2.271 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG3-16                 	      10	  40023426 ns/op	 714.11 MB/s	         2.308 ratio	163398345 B/op	      56 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG3-16               	      10	  20113118 ns/op	1421.01 MB/s	         2.308 ratio	29261824 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG3-16                 	      10	  28356796 ns/op	1007.91 MB/s	         2.335 ratio	165521139 B/op	     108 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG3-16               	      10	  11164529 ns/op	2559.98 MB/s	         2.335 ratio	29261824 B/op	       1 allocs/op
