# mic/ojph.test
ld: warning: duplicate -rpath '/usr/local/lib' ignored
ld: warning: duplicate -rpath '/opt/homebrew/lib' ignored
ld: warning: duplicate -rpath '/home/dibba/.local/lib' ignored
ld: warning: ignoring duplicate libraries: '-lc++'
ld: warning: search path '/home/dibba/.local/lib' not found
goos: darwin
goarch: arm64
pkg: mic/ojph
cpu: Apple M4 Pro
BenchmarkAllCodecs/PICS-C-2/MG4-14               	      10	  20558512 ns/op	1326.12 MB/s	         3.517 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG4-14                 	      10	  16459717 ns/op	1656.35 MB/s	         3.585 ratio	104956800 B/op	      53 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG4-14               	      10	  11623812 ns/op	2345.44 MB/s	         3.585 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG4-14                 	      10	   9009904 ns/op	3025.89 MB/s	         3.618 ratio	107898256 B/op	     102 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG4-14               	      10	   6270133 ns/op	4348.07 MB/s	         3.618 ratio	27262976 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT1-14                 	      10	   1882100 ns/op	 278.57 MB/s	         2.789 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/CT1-14             	      10	   1499292 ns/op	 349.69 MB/s	         2.789 ratio	 2727936 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT1-14           	      10	    987162 ns/op	 531.11 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT1-14        	      10	    962096 ns/op	 544.94 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT1-14                  	      10	   1248471 ns/op	 419.94 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT1-14               	      10	   1255571 ns/op	 417.57 MB/s	         2.789 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT1-14                  	      10	   1387204 ns/op	 377.95 MB/s	         2.704 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT1-14                 	      10	   2225342 ns/op	 235.60 MB/s	         3.190 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT1-14                 	      10	   1063208 ns/op	 493.12 MB/s	         2.696 ratio	 4325755 B/op	      26 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT1-14               	      10	    639804 ns/op	 819.45 MB/s	         2.696 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT1-14                 	      10	    790471 ns/op	 663.26 MB/s	         2.542 ratio	 5948251 B/op	      44 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT1-14               	      10	    420525 ns/op	1246.75 MB/s	         2.542 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT1-14                 	      10	    795971 ns/op	 658.68 MB/s	         2.294 ratio	 9941835 B/op	      85 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT1-14               	      10	    343842 ns/op	1524.79 MB/s	         2.294 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/CT2-14                 	      10	   1928892 ns/op	 271.81 MB/s	         3.486 ratio	 2711552 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state/CT2-14             	      10	   1606496 ns/op	 326.36 MB/s	         3.485 ratio	 2711552 B/op	       9 allocs/op
BenchmarkAllCodecs/MIC-4state-C/CT2-14           	      10	   1038250 ns/op	 504.97 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/CT2-14        	      10	    972854 ns/op	 538.92 MB/s	         3.485 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/CT2-14                  	      10	   1313567 ns/op	 399.13 MB/s	         3.486 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/CT2-14               	      10	   1295871 ns/op	 404.58 MB/s	         3.486 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/CT2-14                  	      10	   1457779 ns/op	 359.65 MB/s	         3.294 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/CT2-14                 	      10	   2394133 ns/op	 218.99 MB/s	         4.539 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/CT2-14                 	      10	   1129496 ns/op	 464.18 MB/s	         3.348 ratio	 4276603 B/op	      26 allocs/op
BenchmarkAllCodecs/PICS-C-2/CT2-14               	      10	    606475 ns/op	 864.48 MB/s	         3.348 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/CT2-14                 	      10	    846108 ns/op	 619.65 MB/s	         3.108 ratio	 5899339 B/op	      44 allocs/op
BenchmarkAllCodecs/PICS-C-4/CT2-14               	      10	    416108 ns/op	1259.98 MB/s	         3.108 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/CT2-14                 	      10	    866004 ns/op	 605.41 MB/s	         2.724 ratio	 9859216 B/op	      87 allocs/op
BenchmarkAllCodecs/PICS-C-8/CT2-14               	      10	    355992 ns/op	1472.75 MB/s	         2.724 ratio	  524288 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MG-N-14                	      10	  72632625 ns/op	 393.50 MB/s	         2.238 ratio	134197259 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state/MG-N-14            	      10	  66074800 ns/op	 432.56 MB/s	         2.238 ratio	134197248 B/op	      11 allocs/op
BenchmarkAllCodecs/MIC-4state-C/MG-N-14          	      10	  43246958 ns/op	 660.88 MB/s	         2.238 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-4state-SIMD/MG-N-14       	      10	  43110738 ns/op	 662.97 MB/s	         2.238 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-C/MG-N-14                 	      10	  50073671 ns/op	 570.78 MB/s	         2.238 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-SIMD/MG-N-14              	      10	  49424333 ns/op	 578.28 MB/s	         2.238 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/HTJ2K/MG-N-14                 	      10	  77744246 ns/op	 367.63 MB/s	         2.226 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/JPEGLS/MG-N-14                	      10	 141678354 ns/op	 201.73 MB/s	         2.378 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-2/MG-N-14                	      10	  39145229 ns/op	 730.13 MB/s	         2.273 ratio	162046320 B/op	      30 allocs/op
BenchmarkAllCodecs/PICS-C-2/MG-N-14              	      10	  24912279 ns/op	1147.27 MB/s	         2.273 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-4/MG-N-14                	      10	  21314808 ns/op	1340.90 MB/s	         2.309 ratio	162120502 B/op	      56 allocs/op
BenchmarkAllCodecs/PICS-C-4/MG-N-14              	      10	  14098525 ns/op	2027.23 MB/s	         2.309 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/PICS-8/MG-N-14                	      10	  11244596 ns/op	2541.75 MB/s	         2.336 ratio	164169484 B/op	     109 allocs/op
BenchmarkAllCodecs/PICS-C-8/MG-N-14              	      10	   7272617 ns/op	3929.95 MB/s	         2.336 ratio	28581888 B/op	       1 allocs/op
BenchmarkAllCodecs/MIC-Go/MR1-14                 	      10	   1472721 ns/op	 356.00 MB/s	         2.087 ratio	 2879488 B/op	      10 allocs/op
BenchmarkAllCodecs/MIC-4state/MR1-14             	      10	   1285496 ns/op	 407.85 MB/s	         2.087 ratio	 2879488 B/op	      10 allocs/op
